team,vegas_round_one_advance_%,vegas_round_two_advance_%,vegas_win_conference_%,vegas_win_cup_%
Tampa Bay Lightning_2018,0.948,0.618,0.308,0.167
Washington Capitals_2018,0.731,0.395,0.125,0.067
Pittsburgh Penguins_2018,0.915,0.517,0.263,0.143
Boston Bruins_2018,0.594,0.215,0.182,0.100
Toronto Maple Leafs_2018,0.406,0.125,0.125,0.067
Philadelphia Flyers_2018,0.086,0.020,0.048,0.024
Columbus Blue Jackets_2018,0.269,0.069,0.091,0.048
New Jersey Devils_2018,0.052,0.015,0.048,0.024
Nashville Predators_2018,0.937,0.571,0.364,0.200
Vegas Golden Knights_2018,0.785,0.549,0.182,0.091
Anaheim Ducks_2018,0.456,0.158,0.111,0.059
Winnipeg Jets_2018,0.540,0.252,0.200,0.111
Minnesota Wild_2018,0.460,0.169,0.077,0.038
San Jose Sharks_2018,0.544,0.205,0.100,0.048
Los Angeles Kings_2018,0.216,0.088,0.100,0.048
Colorado Avalanche_2018,0.063,0.008,0.061,0.032